competition_id,name,country_name,url,is_major_national_league
CIT,italy-cup,Italy,https://www.transfermarkt.co.uk/italy-cup/startseite/wettbewerb/CIT,False
NLSC,johan-cruijff-schaal,Netherlands,https://www.transfermarkt.co.uk/johan-cruijff-schaal/startseite/wettbewerb/NLSC,False
GRP,kypello-elladas,Greece,https://www.transfermarkt.co.uk/kypello-elladas/startseite/wettbewerb/GRP,False
POSU,supertaca-candido-de-oliveira,Portugal,https://www.transfermarkt.co.uk/supertaca-candido-de-oliveira/startseite/wettbewerb/POSU,False
RUSS,russian-super-cup,Russia,https://www.transfermarkt.co.uk/russian-super-cup/startseite/wettbewerb/RUSS,False
SUC,supercopa,Spain,https://www.transfermarkt.co.uk/supercopa/startseite/wettbewerb/SUC,False
USC,uefa-super-cup,Europa,https://www.transfermarkt.co.uk/uefa-super-cup/startseite/pokalwettbewerb/USC,False
DK1,superligaen,Denmark,https://www.transfermarkt.co.uk/superligaen/startseite/wettbewerb/DK1,False
EL,europa-league,Europa,https://www.transfermarkt.co.uk/europa-league/startseite/pokalwettbewerb/EL,False
ES1,laliga,Spain,https://www.transfermarkt.co.uk/laliga/startseite/wettbewerb/ES1,True
FR1,ligue-1,France,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,True
IT1,serie-a,Italy,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,True
NL1,eredivisie,Netherlands,https://www.transfermarkt.co.uk/eredivisie/startseite/wettbewerb/NL1,False
RUP,russian-cup,Russia,https://www.transfermarkt.co.uk/russian-cup/startseite/wettbewerb/RUP,False
PO1,liga-portugal-bwin,Portugal,https://www.transfermarkt.co.uk/liga-portugal-bwin/startseite/wettbewerb/PO1,False
BESC,belgian-supercup,Belgium,https://www.transfermarkt.co.uk/belgian-supercup/startseite/wettbewerb/BESC,False
GB1,premier-league,England,https://www.transfermarkt.co.uk/premier-league/startseite/wettbewerb/GB1,True
UCOL,uefa-conference-league,Europa,https://www.transfermarkt.co.uk/uefa-conference-league/startseite/pokalwettbewerb/UCOL,False
ELQ,europa-league-qualifikation,Europa,https://www.transfermarkt.co.uk/europa-league-qualifikation/startseite/pokalwettbewerb/ELQ,False
CGB,efl-cup,England,https://www.transfermarkt.co.uk/efl-cup/startseite/wettbewerb/CGB,False
DKP,sydbank-pokalen,Denmark,https://www.transfermarkt.co.uk/sydbank-pokalen/startseite/wettbewerb/DKP,False
ECLQ,uefa-europa-conference-league-qualifikation,Europa,https://www.transfermarkt.co.uk/uefa-europa-conference-league-qualifikation/startseite/pokalwettbewerb/ECLQ,False
FAC,fa-cup,England,https://www.transfermarkt.co.uk/fa-cup/startseite/wettbewerb/FAC,False
NLP,toto-knvb-beker,Netherlands,https://www.transfermarkt.co.uk/toto-knvb-beker/startseite/wettbewerb/NLP,False
UKRS,ukrainian-super-cup,Ukraine,https://www.transfermarkt.co.uk/ukrainian-super-cup/startseite/wettbewerb/UKRS,False
UKR1,premier-liga,Ukraine,https://www.transfermarkt.co.uk/premier-liga/startseite/wettbewerb/UKR1,False
CDR,copa-del-rey,Spain,https://www.transfermarkt.co.uk/copa-del-rey/startseite/wettbewerb/CDR,False
CL,uefa-champions-league,Europa,https://www.transfermarkt.co.uk/uefa-champions-league/startseite/pokalwettbewerb/CL,False
GR1,super-league-1,Greece,https://www.transfermarkt.co.uk/super-league-1/startseite/wettbewerb/GR1,False
TR1,super-lig,Turkey,https://www.transfermarkt.co.uk/super-lig/startseite/wettbewerb/TR1,False
POCP,allianz-cup,Portugal,https://www.transfermarkt.co.uk/allianz-cup/startseite/wettbewerb/POCP,False
GBCS,community-shield,England,https://www.transfermarkt.co.uk/community-shield/startseite/wettbewerb/GBCS,False
KLUB,fifa-klub-wm,Europa,https://www.transfermarkt.co.uk/fifa-klub-wm/startseite/pokalwettbewerb/KLUB,False
L1,bundesliga,Germany,https://www.transfermarkt.co.uk/bundesliga/startseite/wettbewerb/L1,True
RU1,premier-liga,Russia,https://www.transfermarkt.co.uk/premier-liga/startseite/wettbewerb/RU1,False
SC1,scottish-premiership,Scotland,https://www.transfermarkt.co.uk/scottish-premiership/startseite/wettbewerb/SC1,False
SCI,supercoppa-italiana,Italy,https://www.transfermarkt.co.uk/supercoppa-italiana/startseite/wettbewerb/SCI,False
BE1,jupiler-pro-league,Belgium,https://www.transfermarkt.co.uk/jupiler-pro-league/startseite/wettbewerb/BE1,False
CLQ,uefa-champions-league-qualifikation,Europa,https://www.transfermarkt.co.uk/uefa-champions-league-qualifikation/startseite/pokalwettbewerb/CLQ,False
DFL,dfl-supercup,Germany,https://www.transfermarkt.co.uk/dfl-supercup/startseite/wettbewerb/DFL,False
SFA,sfa-cup,Scotland,https://www.transfermarkt.co.uk/sfa-cup/startseite/wettbewerb/SFA,False
UKRP,ukrainian-cup,Ukraine,https://www.transfermarkt.co.uk/ukrainian-cup/startseite/wettbewerb/UKRP,False
DFB,dfb-pokal,Germany,https://www.transfermarkt.co.uk/dfb-pokal/startseite/wettbewerb/DFB,False
FRCH,trophee-des-champions,France,https://www.transfermarkt.co.uk/trophee-des-champions/startseite/wettbewerb/FRCH,False
