game_id,competition_id,season,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position
2321027,L1,2013,33,41,3,3,8,9
2321033,L1,2013,23,86,0,1,13,7
2321044,L1,2013,16,23,2,1,1,15
2321060,L1,2013,23,24,0,2,18,11
2321072,L1,2013,16,41,6,2,1,15
2321079,L1,2013,23,4,1,1,18,16
2321086,L1,2013,4,16,1,1,15,1
2321152,L1,2013,44,33,0,2,7,6
2321205,L1,2013,41,39,2,3,14,9
2321233,L1,2013,41,44,0,3,17,7
2321307,L1,2013,16,82,2,1,2,6
2321330,L1,2013,167,44,0,0,8,10
2321335,L1,2013,33,18,0,1,3,6
2323730,RU1,2013,121,12438,2,2,5,10
2323731,RU1,2013,16704,964,1,2,15,3
2329782,BE1,2013,1411,3508,1,1,16,4
2330874,FR1,2013,618,595,2,2,6,8
2330880,FR1,2013,14171,855,1,2,16,10
2330916,FR1,2013,1423,1082,0,1,18,2
2330980,FR1,2013,1421,1147,4,1,7,20
2331006,FR1,2013,855,583,1,1,14,1
2331018,FR1,2013,273,14171,0,0,15,17
2331034,FR1,2013,1147,273,3,1,20,15
2331082,FR1,2013,855,14171,0,1,14,17
2331094,FR1,2013,244,417,0,1,6,12
2331101,FR1,2013,40,1041,1,2,8,5
2331107,FR1,2013,750,244,1,1,19,6
2331110,FR1,2013,417,583,0,1,11,1
2331123,FR1,2013,1423,995,2,6,19,11
2331135,FR1,2013,1423,1041,1,2,18,5
2331162,FR1,2013,162,855,1,1,2,16
2332021,GB1,2013,984,3008,1,1,16,12
2332050,GB1,2013,289,631,3,4,20,2
2332053,GB1,2013,379,931,3,0,15,18
2332074,GB1,2013,1123,873,1,0,14,20
2332184,GB1,2013,762,29,0,3,8,6
2332234,GB1,2013,405,984,4,3,10,15
2332235,GB1,2013,873,3008,1,0,14,13
2332259,GB1,2013,29,281,2,3,5,1
2332288,GB1,2013,405,180,0,0,15,8
2334909,SC1,2013,465,2451,0,0,8,2
2334939,SC1,2013,43,465,0,2,12,10
2334986,SC1,2013,465,43,1,1,8,12
2335021,SC1,2013,2759,370,1,1,9,3
2335072,RU1,2013,121,232,1,4,11,1
2335158,RU1,2013,2700,232,0,1,16,3
2335181,RU1,2013,1083,2410,0,0,8,4
2335202,RU1,2013,1083,232,0,1,10,3
2335209,RU1,2013,121,2410,4,2,4,5
2335225,RU1,2013,2698,232,2,1,10,5
2335226,RU1,2013,932,3725,2,1,2,12
2335237,RU1,2013,932,2700,0,0,2,16
2335245,RU1,2013,2700,121,4,0,16,4
2335248,RU1,2013,3725,1083,3,0,11,8
2335264,RU1,2013,2698,12438,3,1,9,13
2335276,RU1,2013,4128,2410,1,3,8,3
2335296,RU1,2013,2700,2696,0,1,16,14
2335657,UKR1,2013,6414,4482,4,0,2,14
2335661,UKR1,2013,10690,6414,2,2,4,2
2335681,UKR1,2013,6994,339,2,3,12,2
2335714,UKR1,2013,2227,6994,3,1,15,12
2335726,UKR1,2013,338,2783,9,1,6,11
2335761,UKR1,2013,2783,2740,4,1,8,6
2335773,UKR1,2013,6994,2740,0,1,14,8
2335778,UKR1,2013,2227,2783,0,1,15,7
2335782,UKR1,2013,6994,6414,0,3,14,3
2335794,UKR1,2013,6994,660,0,3,15,1
2335817,UKR1,2013,16245,6414,0,2,9,3
2335835,UKR1,2013,6414,660,2,4,3,1
2340228,PO1,2013,68608,4750,2,0,11,13
2340276,PO1,2013,2424,4750,1,1,7,12
2340284,PO1,2013,4750,1085,2,1,15,12
2340365,PO1,2013,1085,4750,3,1,7,15
2340384,PO1,2013,294,1085,1,1,1,8
2340421,PO1,2013,2420,982,1,2,6,4
2341079,ES1,2013,621,940,3,2,5,9
2341123,ES1,2013,1049,16795,2,1,7,13
2341144,ES1,2013,940,3368,0,1,19,9
2341200,ES1,2013,1049,3368,2,0,8,13
2341227,ES1,2013,13,3709,7,0,2,7
2341237,ES1,2013,1050,1084,1,1,5,15
2341319,ES1,2013,1050,621,1,1,6,4
