player_id;name;date_of_birth;sub_position;foot;current_club_id;height_in_cm;country_of_citizenship;image_url;market_value_in_eur
10;Miroslav Klose;9.06.1978 00:00;Centre-Forward;right;398;184.0;Germany;https://img.a.transfermarkt.technology/portrait/header/10-1448468291.jpg?lm=1;1000000
26;Roman Weidenfeller;6.08.1980 00:00;Goalkeeper;left;16;190.0;Germany;https://img.a.transfermarkt.technology/portrait/header/26-1502448725.jpg?lm=1;750000
65;Dimitar Berbatov;30.01.1981 00:00;Centre-Forward;;1091;;Bulgaria;https://img.a.transfermarkt.technology/portrait/header/65-1683670068.jpg?lm=1;1000000
77;Lúcio;8.05.1978 00:00;Centre-Back;;506;;Brazil;https://img.a.transfermarkt.technology/portrait/header/77-1458201664.jpg?lm=1;200000
80;Tom Starke;18.03.1981 00:00;Goalkeeper;right;27;194.0;Germany;https://img.a.transfermarkt.technology/portrait/header/80-1471439914.JPG?lm=1;100000
109;Dedê;18.04.1978 00:00;Left-Back;;825;;Brazil;https://img.a.transfermarkt.technology/portrait/header/109-1487263703.jpg?lm=1;400000
123;Christoph Metzelder;5.11.1980 00:00;Centre-Back;;33;;Germany;https://img.a.transfermarkt.technology/portrait/header/s_123_33_2012_1.jpg?lm=1;1500000
132;Tomas Rosicky;4.10.1980 00:00;Attacking Midfield;both;11;179.0;Czech Republic;https://img.a.transfermarkt.technology/portrait/header/132-1464947592.jpg?lm=1;350000
162;Marc Ziegler;13.06.1976 00:00;Goalkeeper;right;79;193.0;Germany;https://img.a.transfermarkt.technology/portrait/header/s_162_79_2012_1.jpg?lm=1;200000
215;Roque Santa Cruz;16.08.1981 00:00;Centre-Forward;right;1084;193.0;Paraguay;https://img.a.transfermarkt.technology/portrait/header/215-1564992591.png?lm=1;250000
258;Gerald Asamoah;3.10.1978 00:00;Centre-Forward;right;33;180.0;Germany;https://img.a.transfermarkt.technology/portrait/header/258-1590420180.jpg?lm=1;100000
264;Tamás Hajnal;15.03.1981 00:00;Attacking Midfield;both;79;167.0;Hungary;https://img.a.transfermarkt.technology/portrait/header/s_264_79_2012_2.jpg?lm=1;100000
276;Sladan Peric;15.04.1982 00:00;Centre-Back;;20100;;Denmark;https://img.a.transfermarkt.technology/portrait/header/276-1637687071.jpg?lm=1;200000
277;Sérgio da Silva Pinto;16.10.1980 00:00;Central Midfield;right;3368;176.0;Germany;https://img.a.transfermarkt.technology/portrait/header/277-1438158926.jpg?lm=1;150000
299;Fabian Ernst;;Defensive Midfield;right;10484;183.0;Germany;https://img.a.transfermarkt.technology/portrait/header/s_299_123_2014_01_10_2.jpg?lm=1;1500000
325;Tomas Ujfalusi;24.03.1978 00:00;Centre-Back;;141;;Czech Republic;https://img.a.transfermarkt.technology/portrait/header/s_325_141_2012_11_19_1.jpg?lm=1;300000
332;Benjamin Köhler;4.08.1980 00:00;Left Midfield;;24;;Germany;https://img.a.transfermarkt.technology/portrait/header/332-1470298381.jpg?lm=1;150000
