transfer_id,player_id,transfer_date,transfer_season,from_club_id,to_club_id,transfer_fee,market_value_in_eur
1,16136,2026-07-01,26/27,417,123,,500.000.000
2,1138758,2026-07-01,26/27,336,631,52.140.000.000,45.000.000.000
3,195778,2026-06-30,25/26,79,27,0,12.000.000.000
4,569033,2026-06-30,25/26,39,27,0,4.000.000.000
5,626913,2026-06-30,25/26,398,380,0,15.000.000.000
6,743395,2026-06-30,25/26,9010,15,0,1.500.000.000
7,887834,2026-06-30,25/26,979,1023,0,1.000.000.000
8,1047109,2026-06-30,25/26,2672,265,0,300.000.000
9,128223,2026-01-20,25/26,141,5,0,13.000.000.000
10,955213,2026-01-01,25/26,10690,36949,0,50.000.000
11,360791,2025-12-31,25/26,6418,1030,0,1.200.000.000
12,582513,2025-12-31,25/26,511,2407,0,300.000.000
13,589527,2025-12-31,25/26,49702,1029,0,800.000.000
14,624920,2025-12-31,25/26,63007,53646,0,800.000.000
15,773961,2025-12-31,25/26,85465,48726,0,800.000.000
16,905184,2025-12-31,25/26,6418,30120,0,350.000.000
17,936825,2025-12-31,25/26,85465,48726,0,3.000.000.000
18,1029207,2025-12-31,25/26,3592,28292,0,400.000.000
19,1105073,2025-12-31,25/26,6992,20960,0,100.000.000
20,1126427,2025-12-31,25/26,3592,59386,0,50.000.000
21,1171460,2025-12-31,25/26,511,110461,0,400.000.000
22,58358,2025-08-01,25/26,27,515,,6.000.000.000
23,1038821,2025-07-31,25/26,3837,11204,0,100.000.000
24,107612,2025-07-08,25/26,60949,3641,0,250.000.000
25,31067,2025-07-01,25/26,468,123,,100.000.000
26,34784,2025-07-01,25/26,467,123,,100.000.000
27,39728,2025-07-01,25/26,12,123,,2.500.000.000
28,42710,2025-07-01,25/26,1096,123,,2.200.000.000
29,43250,2025-07-01,25/26,58,123,,1.000.000.000
30,44996,2025-07-01,25/26,36,515,,100.000.000
31,55508,2025-07-01,25/26,269,515,,500.000.000
32,57796,2025-07-01,24/25,2036,515,,250.000.000
33,58995,2025-07-01,25/26,86,515,,1.000.000.000
34,69642,2025-07-01,25/26,190,515,0,200.000.000
